OBJECTID;Join_Count;TARGET_FID;LINK_ID;POI_ID;SEQ_NUM;FAC_TYPE;POI_NAME;POI_LANGCD;POI_NMTYPE;POI_ST_NUM;ST_NUM_FUL;ST_NFUL_LC;ST_NAME;ST_LANGCD;POI_ST_SD;ACC_TYPE;PH_NUMBER;CHAIN_ID;NAT_IMPORT;PRIVATE;IN_VICIN;NUM_PARENT;NUM_CHILD;PERCFRREF;VANCITY_ID;ACT_ADDR;ACT_LANGCD;ACT_ST_NAM;ACT_ST_NUM;ACT_ADMIN;ACT_POSTAL;AIRPT_TYPE;POLYGON_NM;FED_OKR;BUFF_DIST;ORIG_FID;name_1;all_scales;X;Y
28;1;3701;754010528.0;1100630474.0;1;4100;МЕТРО-КОМСОМОЛЬСКАЯ;RUS;B; ; ; ;ПРОСПЕКТ ЛЕНИНА;RUS;L; ; ;0.0;N;N;N;0;0;10;0.0; ; ; ; ; ; ; ;ВОЛГОГРАДСКАЯ ОБЛАСТЬ;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;8;Комсомольская;1;44.52032000041689;48.709479999993235
29;1;4872;586755403.0;995036408.0;1;4100;МЕТРО-КУПЧИНО;RUS;B; ; ; ;БАЛКАНСКАЯ ПЛОЩАДЬ;RUS;L; ; ;0.0;N;N;N;1;0;80;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Купчино;1;30.37913000051509;59.830660000511976
30;1;4898;775090213.0;1103914083.0;1;4100;МЕТРО-АДМИРАЛТЕЙСКАЯ;RUS;B; ; ; ;МАЛАЯ МОРСКАЯ УЛИЦА;RUS;R; ; ;0.0;N;N;N;0;0;90;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Адмиралтейская;1;30.314820000092112;59.93632000052325
31;1;4911;773220335.0;1024194560.0;1;4100;МЕТРО-ВОЛКОВСКАЯ;RUS;B; ; ; ;КАСИМОВСКАЯ УЛИЦА;RUS;L; ; ;0.0;N;N;N;0;0;60;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Волковская;1;30.35748999944398;59.896400000496286
32;1;4917;1066611664.0;844561879.0;1;4100;МЕТРО-ПЛОЩАДЬ МУЖЕСТВА;RUS;B; ; ; ;ПОЛИТЕХНИЧЕСКАЯ УЛИЦА;RUS;L; ; ;0.0;N;N;N;0;0;79;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Площадь Мужества;1;30.365259999951864;59.999760000644024
33;1;4920;1001851480.0;1101328926.0;1;4100;МЕТРО-КУПЧИНО;RUS;B; ; ; ; ; ;L; ; ;0.0;N;N;N;0;3;97;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Купчино;0;30.379440000136487;59.82976999975253
34;1;4921;1102347668.0;1101328925.0;1;4100;МЕТРО-КУПЧИНО;RUS;B; ; ; ;ВИТЕБСКИЙ ПРОСПЕКТ;RUS;L; ; ;0.0;N;N;N;1;0;87;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Купчино;0;30.37378000029718;59.83015000010488
35;1;4954;1164901164.0;1101258910.0;1;4100;МЕТРО-НОВОЧЕРКАССКАЯ;RUS;B; ; ; ;НОВОЧЕРКАССКИЙ ПРОСПЕКТ;RUS;R; ; ;0.0;N;N;N;1;0;66;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Новочеркасская;0;30.412410000033596;59.92865999971624
36;1;4955;773313606.0;1101258909.0;1;4100;МЕТРО-НОВОЧЕРКАССКАЯ;RUS;B; ; ; ;ЗАНЕВСКИЙ ПРОСПЕКТ;RUS;L; ; ;0.0;N;N;N;1;0;15;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Новочеркасская;0;30.41288000038688;59.92922999966325
37;1;4956;1088275142.0;1101258908.0;1;4100;МЕТРО-НОВОЧЕРКАССКАЯ;RUS;B; ; ; ;ЗАНЕВСКИЙ ПРОСПЕКТ;RUS;R; ; ;0.0;N;N;N;1;0;62;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Новочеркасская;1;30.411040000055035;59.92869999968456
